date,global_active_power
2008-01-01T00:00:00+00:00,1568.4
2008-01-01T00:15:00+00:00,1562.4
2008-01-01T00:30:00+00:00,1679.8666666666666
2008-01-01T00:45:00+00:00,1577.0666666666666
2008-01-01T01:00:00+00:00,1632.2666666666667
2008-01-01T01:15:00+00:00,1711.4666666666667
2008-01-01T01:30:00+00:00,1540.8
2008-01-01T01:45:00+00:00,1593.7333333333333
2008-01-01T02:00:00+00:00,1866.0
2008-01-01T02:15:00+00:00,2560.8
2008-01-01T02:30:00+00:00,2717.866666666667
2008-01-01T02:45:00+00:00,2750.266666666667
2008-01-01T03:00:00+00:00,2614.0
2008-01-01T03:15:00+00:00,2682.0
2008-01-01T03:30:00+00:00,2778.8
2008-01-01T03:45:00+00:00,2849.733333333333
2008-01-01T04:00:00+00:00,2475.6
2008-01-01T04:15:00+00:00,2448.0
2008-01-01T04:30:00+00:00,2353.2
2008-01-01T04:45:00+00:00,2447.733333333333
2008-01-01T05:00:00+00:00,2716.4
2008-01-01T05:15:00+00:00,2349.2
2008-01-01T05:30:00+00:00,2421.4666666666667
2008-01-01T05:45:00+00:00,2431.6
2008-01-01T06:00:00+00:00,2432.6666666666665
2008-01-01T06:15:00+00:00,1671.0666666666666
2008-01-01T06:30:00+00:00,1369.6
2008-01-01T06:45:00+00:00,1287.4666666666667
2008-01-01T07:00:00+00:00,1346.6666666666667
2008-01-01T07:15:00+00:00,1362.6666666666667
2008-01-01T07:30:00+00:00,1278.2666666666667
2008-01-01T07:45:00+00:00,1340.9333333333334
2008-01-01T08:00:00+00:00,1373.7333333333333
2008-01-01T08:15:00+00:00,1303.0666666666666
2008-01-01T08:30:00+00:00,1436.9333333333334
2008-01-01T08:45:00+00:00,1386.9333333333334
2008-01-01T09:00:00+00:00,1290.5333333333333
2008-01-01T09:15:00+00:00,1359.3333333333333
2008-01-01T09:30:00+00:00,754.0
2008-01-01T09:45:00+00:00,799.7333333333333
2008-01-01T10:00:00+00:00,552.4
2008-01-01T10:15:00+00:00,418.93333333333334
2008-01-01T10:30:00+00:00,589.4666666666667
2008-01-01T10:45:00+00:00,782.8
2008-01-01T11:00:00+00:00,811.8666666666667
2008-01-01T11:15:00+00:00,3416.4
2008-01-01T11:30:00+00:00,4288.266666666666
2008-01-01T11:45:00+00:00,2091.0666666666666
2008-01-01T12:00:00+00:00,2089.733333333333
2008-01-01T12:15:00+00:00,3780.133333333333
2008-01-01T12:30:00+00:00,1347.3333333333333
2008-01-01T12:45:00+00:00,1023.4666666666667
2008-01-01T13:00:00+00:00,3095.3333333333335
2008-01-01T13:15:00+00:00,3313.733333333333
2008-01-01T13:30:00+00:00,2358.9333333333334
2008-01-01T13:45:00+00:00,3023.2
2008-01-01T14:00:00+00:00,2829.4666666666667
2008-01-01T14:15:00+00:00,1508.4
2008-01-01T14:30:00+00:00,1558.6666666666667
2008-01-01T14:45:00+00:00,1380.8
2008-01-01T15:00:00+00:00,1486.8
2008-01-01T15:15:00+00:00,1710.8
2008-01-01T15:30:00+00:00,705.0666666666667
2008-01-01T15:45:00+00:00,294.0
2008-01-01T16:00:00+00:00,341.8666666666667
2008-01-01T16:15:00+00:00,448.26666666666665
2008-01-01T16:30:00+00:00,1014.0
2008-01-01T16:45:00+00:00,1579.0666666666666
2008-01-01T17:00:00+00:00,1552.5333333333333
2008-01-01T17:15:00+00:00,1944.8
2008-01-01T17:30:00+00:00,2056.133333333333
2008-01-01T17:45:00+00:00,2715.2
2008-01-01T18:00:00+00:00,3327.0666666666666
2008-01-01T18:15:00+00:00,2703.866666666667
2008-01-01T18:30:00+00:00,2662.5333333333333
2008-01-01T18:45:00+00:00,2827.6
2008-01-01T19:00:00+00:00,3228.266666666667
2008-01-01T19:15:00+00:00,2542.9333333333334
2008-01-01T19:30:00+00:00,2742.266666666667
2008-01-01T19:45:00+00:00,3515.4666666666667
2008-01-01T20:00:00+00:00,3376.9333333333334
2008-01-01T20:15:00+00:00,2795.733333333333
2008-01-01T20:30:00+00:00,2939.3333333333335
2008-01-01T20:45:00+00:00,2380.4
